##### MuCjam al-buldan 
الآبار	بِئْر
آبج	NOTFOUND
آبر	NOTFOUND
آبسكون	NOTFOUND
آبل	EXCLUDE
آبل	EXCLUDE
آبندون	NOTFOUND
آبه	آبِه,آب
آتيل	NOTFOUND
الآجام	أَجَمَة
الآجر	NOTFOUND
آجنقان	NOTFOUND
آخر	آخِر,آخَر
آذرم	NOTFOUND
آذنة	آذَن,آذِن
آذيوخان	NOTFOUND
الآرام	رِئْم,إِرَم
آرة	آر
آرهن	آر
آزاب	NOTFOUND
الآزاج	أَزَج
آزاذان	NOTFOUND
آزاذوار	NOTFOUND
آزر	آزَر
آسك	آس
آسيا	أَسْيا,آسَى,آسِي
آشب	NOTFOUND
آغزون	NOTFOUND
آفاز	NOTFOUND
آفران	NOTFOUND
آلات	آلَة
آلس	NOTFOUND
آلوزان	NOTFOUND
آلوسة	NOTFOUND
آليش	NOTFOUND
آلين	آلَى
آلية	آلِيّ,آلِيَّة
آمد	NOTFOUND
آم	آم-ِ
آمديزة	NOTFOUND
آمل	أَمَل-َ,آمِل
آمو	NOTFOUND
آني	آنِيّ,آن
آيل	آيِل
أبا	أَبا,أَب,أَبّ
أباتر	NOTFOUND
أبار	أَبار,بارَى
الأبارق	NOTFOUND
الأبارق	NOTFOUND
الأباصر	NOTFOUND
أباض	NOTFOUND
أباغ	NOTFOUND
الأبالخ	NOTFOUND
أبام	NOTFOUND
أبان	أَبان
أبانان	NOTFOUND
الأبايض	NOTFOUND
أب	أب,أَب,أَبّ
أبتر	أَبْتَر,بَتَر
أبترة	أَبْتَر,بَتَر
إبثيت	NOTFOUND
إبجيج	NOTFOUND
أبخاز	NOTFOUND
أبدة	أَباد,أَبَد-ِ,بَدا,أَبْدَى,أَبَّد,باد-ِ,أَبَد,بَدَه-َ,بَدّ
أبذغ	NOTFOUND
أبراد	بُرْد
أبراص	NOTFOUND
الأبراقات	NOTFOUND
أبراق	NOTFOUND
الأبر	NOTFOUND
أبرشتويم	NOTFOUND
أبرشهر	NOTFOUND
الأبرشية	أَبْرَشِيّ
الأبرقان	NOTFOUND
الأبرقة	NOTFOUND
أبرقوه	أَبْرَق
إبرم	NOTFOUND
أبروقا	NOTFOUND
الأبروق	NOTFOUND
أبرين	NOTFOUND
أبرينق	NOTFOUND
أبزار	بِزْر
أبزقباذ	NOTFOUND
أبسس	بَسّ
أبسكون	NOTFOUND
أبسوج	NOTFOUND
أنشاق	NOTFOUND
أبشاي	NOTFOUND
أبشويه	NOTFOUND
إبشيش	NOTFOUND
