أبين	أَبان,بَيَّن,أَبْيَن,بان-ِ,أَبَى-َ
أبيورد	NOTFOUND
أذربيجان	أَذَرْبَيْجان
أران	NOTFOUND
إربل	NOTFOUND
أرجان	أَرِج
أردبيل	أَرْدَبِيل
أرزن	رَزُن
أرمينية	NOTFOUND
إستجة	NOTFOUND
إستراباذ	NOTFOUND
أستوا	NOTFOUND
إسفرايين	NOTFOUND
أسوان	أَسْوان
إشبيلية	إِشْبِيلِيّ,إِشْبِيلِيَّة
أشروسنة	NOTFOUND
إصبهان	NOTFOUND
إصطخر	NOTFOUND
إفريقية	أَفْرِيقِيّ
الأبنية	بِناء
الأبواء	NOTFOUND
الأردن	أُرْدُنّ
الإسكندرية	إِسْكَنْدَرِيَّة,إِسْكَنْدَرِيّ
الأنبار	أَنْبار,نِبْر
الأندلس	أَنْدَلُس
الأهواز	أَهْواز
البادية	بادِيَة,بادِي
البحرين	بَحْرَيْنِ,بَحْر
البربر	بَرْبَرِيّ
البصرة	بَصْرَة
البلقاء	أَبْلَق
البهنسا	NOTFOUND
إلبيرة	NOTFOUND
الثعلبية	ثَعْلَبِيّ
الثغور	ثَغْر
الجار	جار
الجبال	جَبَل
الجبل	جَبَل
الجحفة	NOTFOUND
الجزيرة	جَزِيرَة
الجزيرة	جَزِيرَة
الخضراء	أَخْضَر
الجند	جُنْد
الحبشة	حَبَش
الحجاز	حِجاز
الحجر	حُجْرَة,حَجَر,حِجْر,حَجْر
الحجون	NOTFOUND
الحربية	حَرْبِيّ
الحزن	حَزْن,حُزْن
الحمى	حُمَة,حَم,حَمِيّ,حِمَى,حُمِّيّ,حُمَّى
الحيرة	حَيْرَة
الخابور	خابُور
الخراب	خَراب
الخزر	خَزَر
الديلم	NOTFOUND
الدينور	NOTFOUND
الرحبة	رَحْبَة,رَحْب
الرصافة	رَصّاف,رَصافَة
الرقة	رِقَّة
الرملة	رَمْلَة
الروم	رَوْم,رُوم
الري	رَيّ
الريف	رِيف
الزاب	NOTFOUND
الساحل	ساحِل
السند	سِنْد,سَنَد
السواد	سَواد
السودان	سُودان
السوس	سُوس
الشاش	شاش
الشام	شام
الشراة	شارِي
الصعيد	صَعِيد
الصين	صِين
الطائف	طائِف
العذيب	NOTFOUND
العراق	عِراق
العقبة	عَقَبَة
العقيق	عَقِيق
العواصم	عاصِمَة
الغور	غَوْر
الغوطة	غُوطَة
الفرات	فُرات
الفرس	فَرَس,فارِسِيّ
الفرما	NOTFOUND
الفسطاط	فُسْطاط
الفيوم	فَيُّوم
القادسية	قادِسِيَّة
القاهرة	قاهِرَة
القسطنطينية	قُسْطَنْطِينِيّ,قُسْطَنْطِينِيَّة
القلزم	NOTFOUND
القيروان	قَيْرَوان
الكرخ	NOTFOUND
الكوفة	كُوفَة
اللوى	لَوَى,لَيَّة,لِوَى
المدائن	مَدِينَة,مَدائِن
المدينة	مَدِينَة,مَدِين,مُدِين
المرية	مُرْيَة
المصيصة	مَصِيص
المغرب	مَغْرِب,مُغَرَّب
المهدية	مَهْدِيّ,مُهْدِي
الموصل	مَوْصِل,مُوَصِّل
النعمانية	NOTFOUND
النهروان	NOTFOUND
النيل	نِيل,نَيْل
الهند	هِنْد
اليمامة	يَمام
اليمن	يُمْن,يَمَن
آمد	NOTFOUND
إمرة	إِمْرَة
آمل	آمِل,أَمَل-َ
أنطاكية	أَنْطاكِيَّة,أَنْطاكِيّ
أيلة	أَيِّل
باب	آب,أَب,إِبّ,باب
الأبواب	باب
