اب	أب,آب,أَبّ,أَب,إِبّ
ابا	أَبا,آب,أَبّ,أَب
اباتر	NEWMORPH
ابار	أَبار,بارَى,بِئْر
اباض	أُبْض
اباغ	NEWMORPH
ابام	NEWMORPH
ابان	أَبان,إِبّان
ابانان	NEWMORPH
ابة	آبِه,آب,أَبَه,أَبَه-َِ,أَبّ,بَهِي-َ
ابتر	أَبْتَر,بَتَر
ابترة	أَبْتَر,بَتَر
ابثيت	NEWMORPH
ابج	NEWMORPH
ابجيج	NEWMORPH
ابخاز	NEWMORPH
ابدة	أَباد,أَبَد-ِ,أَبْدَى,بَدا,أَبَّد,باد-ِ,آبِد,أَبَد,بَدَه-َ,بَدّ,آبِدَة
ابذغ	NEWMORPH
ابر	بَرّ-ِ,أَبَرّ,بَرَى-ِ,إِبْرَة,أَبار,أَبَّر,بار,أَبَر-ُِ
ابراد	بُرْد
ابراص	NEWMORPH
ابراق	NEWMORPH
ابرشتويم	NEWMORPH
ابرشهر	NEWMORPH
ابرقوه	أَبْرَق
ابرم	بَرِم-َ,أَبْرَم,بَرَّم,بَرَم
ابروقا	NEWMORPH
ابرين	NEWMORPH
ابرينق	NEWMORPH
ابزار	بِزْر
ابزقباذ	NEWMORPH
ابسس	بَسّ
ابسكون	NEWMORPH
ابسوج	NEWMORPH
ابشاي	NEWMORPH
ابشويه	NEWMORPH
ابشية	NEWMORPH
ابشيش	NEWMORPH
ابضع	أَبْضَع,بَضَّع,بَضَع-َ
ابغر	بَغَر
ابكن	آب,أَبّ
ابل	بَلّ-ِ,بَلّ,إِبْل,بَلا,أَبال,بال,بَلِي-َ,أَبَلّ,وَبَل-ِ,أَبْلَى
ابلستين	NEWMORPH
ابلى	إِبْل,بَلا,إِبْلِيّ,بَلِي-َ,أَبْلَى
ابلي	إِبْل,بَلا,إِبْلِيّ,بَلِي-َ,أَبْلَى
ابليل	NEWMORPH
ابنبم	NEWMORPH
ابند	بَنَّد
ابندون	NEWMORPH
ابنود	NEWMORPH
ابنى	آب,ٱِبْن,بَنَى-ِ,أَبان,أَبّ
ابه	آب,بَهِي-َ,آبِه,أَبَه,أَبَه-َِ,أَبّ
ابهر	بَهَر-َ,أَبْهَر
ابوان	أَب
ابوى	أَب,أَبَوِيّ
ابويط	NEWMORPH
ابيار	NEWMORPH
ابيان	أَبِيّ,آبِي
ابيدة	أَباد,باد-ِ
ابير	أَبار
ابيط	NEWMORPH
ابيم	NEWMORPH
ابين	أَبْيَن,أَبان,بَيَّن,آبِي,أَبَى-َ,بان-ِ
ابيورد	NEWMORPH
ابيوهة	NEWMORPH
اتريب	تَرَيَّب
اتريش	تَرَيَّش
اتشند	NEWMORPH
اتفيح	NEWMORPH
اتكو	NEWMORPH
اتل	أَتْلَى,تَلا
اتيدة	NEWMORPH
اتيل	تَيَّل
اثافت	NEWMORPH
اثال	NEWMORPH
اثامد	NEWMORPH
اثاية	NEWMORPH
اثبيت	NEWMORPH
اثرب	ثَرَّب,ثَرَب-ِ
اثليدم	NEWMORPH
اثمد	إِثْمِد
اثنان	ٱِثْنانِ
اثوا	أَثّ-َُِ
اثور	ثار,ثَوَّر
اثول	أُثُول,أَثْل
اثيدة	NEWMORPH
اثير	أَثِير,أَثار
اثيفيات	NEWMORPH
اثيفية	NEWMORPH
اثيل	أَثِيل
اجا	أَجّ
اجارد	NEWMORPH
اجان	جانَى
اجدابية	NEWMORPH
اجداد	جَدّ
اجدث	NEWMORPH
اجذال	جِذْل
اجر	آجَر,جار,أَجَر,أَجار,أَجَّر,أُجْرَة,أَجْر,أَجْرَى,جَرَى-ِ,أَجَرّ,جَرّ
اجراد	NEWMORPH
اجراف	NEWMORPH
اجرب	أَجْرَب,جَرَّب,جَرِب-َ
اجزل	أَجْزَل,جَزُل
اجش	أَجَشّ,جاش-ِ,جَشّ
اجشد	NEWMORPH
اجلة	آجِلَة,أَجْل,أَجَّل,جَلا,أَجْلَى,جَلَى-ِ,جال,آجِل,جَلَّى,أَجال,أَجَلّ,أَجَل
اجلى	أَجْل,جَلا,أَجْلَى,جَلَى-ِ,آجِل,جَلَّى,أَجَلّ,أَجَل
اجم	جَمّ-ُِ,وَجَم-ِ,أَجَمَة
اجنادين	NEWMORPH
اجنقان	NEWMORPH
اجول	جال,جَوَّل
اجوية	NEWMORPH
اجياد	جَواد
اجيرة	أَجار,جَيَّر,أَجِير,أَجِيرَة
احارب	حارَب
احامرة	NEWMORPH
احباب	حَبِيب
احثال	NEWMORPH
احد	أَحَد,أَحَّد,حَدِي,حاد-ِ,حاد,أَحَدّ,حَدّ-ِ,حَدّ,حَدا
احدث	حَدَث,أَحْدَث
احراد	NEWMORPH
احراص	NEWMORPH
احراض	NEWMORPH
احرض	حَرَض-ِ,حَرَّض
احزاب	حِزْب
احلى	أَحْلَى,حَلَى,حَلَّى,حَلِي-َ,حَلُو
احليل	إِحْلِيل
احليلاء	NEWMORPH
احليلي	إِحْلِيل
احمداباذ	NEWMORPH
احوس	NEWMORPH
اخا	أَخ
اخثال	NEWMORPH
اخر	خار-ِ,آخِر,خَرّ-ُِ,خار,آخَر
اخرب	أَخْرَب,خَرِب-َ,خَرَب-ِ,خَرَّب
اخرم	خَرَم-ِ,خَرَّم
اخزم	خَزَم-ِ
اخسيسك	NEWMORPH
اخسيكث	NEWMORPH
اخشنبة	NEWMORPH
اخطب	خَطَب
اخطبة	خَطَب,خِطاب
اخلاء	إِخْلاء,خَلِيل
اخميم	NEWMORPH
اخنا	أَخَنّ,وَخَى-ِ
اخناث	NEWMORPH
ادام	أَدام,إِدام,أَدّام
ادامى	إِدام,أَدّام
ادبي	آدِب,أَدَب,أَدَبِيّ,أَدْب
ادرفركال	NEWMORPH
ادرنت	أَدْرَن
ادرنكة	NEWMORPH
ادريت	أَدْرَى
ادريجة	NEWMORPH
ادفة	داف,دَفّ-ِ
ادفو	NEWMORPH
ادقية	أَدَقّ
ادم	دَمّ,أَدام,آدَم,دام,دَمِي-َ,دَمَّى,أَدْمَى
ادماء	NEWMORPH
ادماث	NEWMORPH
ادمام	NEWMORPH
ادمان	إِدْمان
ادمى	دَمِي-َ,دَمَّى,آدَمِيّ,أَدْمَى
اديات	NEWMORPH
اديم	أَدام,أَدِيم
اديمة	أَدام,أَدِيم
اذاخر	NEWMORPH
اذاسا	NEWMORPH
اذافر	NEWMORPH
اذبل	ذَبَل
اذربيجان	أَذَرْبَيْجان
اذرح	NEWMORPH
اذرع	ذِراع,ذَرَع-َ
اذرعات	NEWMORPH
اذرم	NEWMORPH
اذرمة	NEWMORPH
اذكان	NEWMORPH
اذلق	أَذْلَق
اذن	أَذِن-َ,أَذَّن,آذِن,إِذْن,أُذُن,إِذَن,آذَن,شَنّ
اذنة	أَذِن-َ,أَذَّن,إِذْن,آذِن,أُذُن,آذَن
اذون	إِذْن
اذينة	أَذِي-َ,أُذَيْنَة,آذَى,أُذَيْن
اذيوخان	NEWMORPH
اراب	آراب,رابَى,إِرْب,أَراب
ارابن	NEWMORPH
ارار	NEWMORPH
اراش	NEWMORPH
اراط	NEWMORPH
اراطة	NEWMORPH
اراطى	NEWMORPH
اراظ	NEWMORPH
اراق	أَراق,أُراق
اراك	رَأَى-َ
ارال	NEWMORPH
اران	NEWMORPH
ارانب	أَرْنَب
ارباع	رُبْع
اربة	أَرَب,أَرَب-ِ,راب-ِ,آرَب,راب,أَرِب,أُرْب,أَراب,إِرْب,أَرْبَى,رَبا,رَبَّى
اربد	ٱِرْبَدّ,إِرْبِد
اربق	NEWMORPH
اربك	أَرَب,رَبَك,أَرَب-ِ,راب-ِ,آرَب,راب,أَرْبَك,أَرِب,رَبِك-َ,أُرْب,إِرْب,أَراب,أَرْبَى,رَبا,رَبَّى
اربل	NEWMORPH
اربنجن	NEWMORPH
اربونة	NEWMORPH
اربيخ	NEWMORPH
ارة	رَها,وَرَى-ِ,رَأَى-َ,آر
ارتاح	ٱِرْتاح
ارتامة	NEWMORPH
ارتل	رَتَّل,رَتِل-َ
ارتيان	NEWMORPH
ارثخشميثن	NEWMORPH
ارثد	NEWMORPH
ارجان	أَرِج
ارجذونة	NEWMORPH
ارجكوك	NEWMORPH
ارجنوس	NEWMORPH
ارجونة	أَرْجُون
