اب	أب,آب,أَب,أَبّ,إِبّ
ابا	أَبا,آب,أَب,أَبّ
اباتر	NOTFOUND
ابار	أَبار,بارَى,بِئْر
اباض	أُبْض
اباغ	NOTFOUND
ابام	NOTFOUND
ابان	أَبان,إِبّان
ابانان	NOTFOUND
ابة	آبِه,آب,أَبَه,أَبّ,أَبَه-َِ,بَهِي-َ
ابتر	أَبْتَر,بَتَر
ابترة	أَبْتَر,بَتَر
ابثيت	NOTFOUND
ابج	NOTFOUND
ابجيج	NOTFOUND
ابخاز	NOTFOUND
ابدة	أَباد,أَبَد-ِ,أَبْدَى,بَدا,باد-ِ,أَبَّد,آبِد,أَبَد,بَدّ,بَدَه-َ,آبِدَة
ابذغ	NOTFOUND
ابر	بَرّ-ِ,أَبَرّ,بَرَى-ِ,إِبْرَة,أَبار,بار,أَبَّر,أَبَر-ُِ
ابراد	بُرْد
ابراص	NOTFOUND
ابراق	NOTFOUND
ابرشتويم	NOTFOUND
ابرشهر	NOTFOUND
ابرقوه	أَبْرَق
ابرم	بَرِم-َ,أَبْرَم,بَرَّم,بَرَم
ابروقا	NOTFOUND
ابرين	NOTFOUND
ابرينق	NOTFOUND
ابزار	بِزْر
ابزقباذ	NOTFOUND
ابسس	بَسّ
ابسكون	NOTFOUND
ابسوج	NOTFOUND
ابشاي	NOTFOUND
ابشويه	NOTFOUND
ابشية	NOTFOUND
ابشيش	NOTFOUND
ابضع	أَبْضَع,بَضَّع,بَضَع-َ
ابغر	بَغَر
ابكن	آب,أَبّ
ابل	بَلّ-ِ,بَلّ,إِبْل,بَلا,أَبال,بال,بَلِي-َ,أَبَلّ,وَبَل-ِ,أَبْلَى
ابلستين	NOTFOUND
ابلى	إِبْل,بَلا,إِبْلِيّ,بَلِي-َ,أَبْلَى
ابلي	إِبْل,بَلا,إِبْلِيّ,بَلِي-َ,أَبْلَى
ابليل	NOTFOUND
ابنبم	NOTFOUND
ابند	بَنَّد
ابندون	NOTFOUND
ابنود	NOTFOUND
ابنى	آب,ٱِبْن,بَنَى-ِ,أَبان,أَبّ
